column,dtype,missing_count,missing_rate,unique_count,zero_count,negative_count,outlier_count_iqr,duplicate_rows_in_dataset
tpep_pickup_datetime,datetime64[us],0,0.0,1610975,,,,0
tpep_dropoff_datetime,datetime64[us],0,0.0,1611319,,,,0
passenger_count,float64,71743,0.023394,10,51164.0,0.0,733623.0,0
trip_distance,float64,0,0.0,4387,45862.0,0.0,390244.0,0
PULocationID,int64,0,0.0,257,0.0,0.0,0.0,0
DOLocationID,int64,0,0.0,261,0.0,0.0,0.0,0
fare_amount,float64,0,0.0,6873,1110.0,25049.0,325228.0,0
total_amount,float64,0,0.0,15871,568.0,25204.0,371616.0,0
tip_amount,float64,0,0.0,4036,694757.0,225.0,221257.0,0
payment_type,int64,0,0.0,5,71743.0,0.0,655304.0,0
